Book ID,Title,Author,Genre,Copies
1,Power Echoes Dawn Shadow,Chetan Bhagat,Science,1
2,The Life Echoes Dreams,George R.R. Martin,Philosophy,6
3,Journey The,Khushwant Singh,Romance,4
4,Truth Quest Love Flames,Amish Tripathi,Fiction,4
5,Truth Secret,Preeti Shenoy,Philosophy,4
6,Power Silent,Kiran Desai,Spirituality,3
7,Whispers Dreams Beyond Shadow,R.K. Narayan,Fantasy,4
8,Love Light Truth Quest,Vikram Seth,Technology,1
9,Beyond Light,Stephen King,Education,4
10,Edge Life Truth Silent,Savi Sharma,Mythology,10
11,Echoes Light,F. Scott Fitzgerald,Romance,3
12,Dreams Legacy,Amish Tripathi,Education,5
13,Secret Flames,Khushwant Singh,Mystery,6
14,Journey Flames Light,Amish Tripathi,Mythology,1
15,Quest Dreams Echoes Secret,Ruskin Bond,Spirituality,9
16,Whispers Dreams Light,Stephen King,Romance,9
17,Echoes Secret Life,Devdutt Pattanaik,Self-Help,8
18,Edge Truth Echoes,Khushwant Singh,Self-Help,8
19,Secret The,Charles Dickens,Fantasy,5
20,Winds Quest,Mark Twain,Self-Help,8
21,Shadow Dawn Dreams,Savi Sharma,Spirituality,5
22,Winds Secret Dawn Love,Chetan Bhagat,Biography,4
23,Legacy Dawn,Preeti Shenoy,Spirituality,2
24,Edge Secret Dawn Shadow,Arundhati Roy,Technology,5
25,Winds Silent Flames,Anita Desai,Education,3
26,Beyond Winds,R.K. Narayan,History,7
27,Echoes Dreams,Anita Desai,Philosophy,10
28,Dawn Shadow Secret Flames,Charles Dickens,Education,2
29,Echoes Dawn,Anita Desai,Romance,6
30,Dreams Edge Beyond,Preeti Shenoy,Self-Help,7
31,Silent Dawn Beyond Winds,Sudha Murty,Romance,5
32,Flames Silent The,Devdutt Pattanaik,Fiction,3
33,Flames The,Amish Tripathi,Biography,9
34,Winds Quest Silent Shadow,Ernest Hemingway,Philosophy,6
35,Love Dawn Whispers,Arundhati Roy,Education,1
36,Light Secret,George R.R. Martin,Self-Help,5
37,Legacy Secret Silent,Vikram Seth,History,1
38,Dreams Power Journey Beyond,Dan Brown,Spirituality,4
39,Silent Dreams Flames,Devdutt Pattanaik,Self-Help,7
40,Light Power Life,Chetan Bhagat,History,8
41,Power Winds Truth Quest,Jane Austen,Technology,3
42,Echoes Secret,Chetan Bhagat,Fantasy,2
43,Light Love,Charles Dickens,Spirituality,6
44,Power Love Life Whispers,Leo Tolstoy,Spirituality,10
45,Shadow Dreams Legacy,Savi Sharma,Romance,8
46,Journey Winds Beyond,Vikram Seth,Education,1
47,Life Edge Legacy,Savi Sharma,Fantasy,5
48,Life Light,Chetan Bhagat,Self-Help,10
49,Flames Edge,Preeti Shenoy,Technology,8
50,Silent Quest,George Orwell,Mythology,10
51,Secret Edge Flames,Preeti Shenoy,Fiction,4
52,Journey Light Edge,Anita Desai,Philosophy,1
53,Light Love,Ruskin Bond,Biography,3
54,Light Life,Preeti Shenoy,Philosophy,1
55,Truth Secret Whispers,Chetan Bhagat,Fiction,9
56,Shadow Legacy Winds Dawn,Ernest Hemingway,Fiction,8
57,Legacy Journey Truth,Jane Austen,Spirituality,5
58,Echoes Secret Power Dawn,R.K. Narayan,Technology,9
59,The Silent Life Quest,Ruskin Bond,Fiction,9
60,Quest Journey Light Flames,George Orwell,Fantasy,6
61,Edge The Truth,Amish Tripathi,Science,9
62,Echoes Light Journey,Agatha Christie,Education,8
63,Truth Flames Life,Sudha Murty,Fantasy,8
64,Winds Beyond,Arundhati Roy,Biography,4
65,Echoes Shadow Quest Secret,George Orwell,Mythology,3
66,Quest Journey,Ruskin Bond,History,6
67,Secret Dreams,R.K. Narayan,Fiction,1
68,Power Flames,Savi Sharma,Biography,10
69,Echoes Silent Light Dawn,Vikram Seth,Biography,9
70,Winds Silent Edge Power,Leo Tolstoy,Mythology,7
71,Life Legacy Silent Beyond,Khushwant Singh,Spirituality,10
72,Legacy Shadow Light,Ernest Hemingway,Mystery,10
73,Journey The,Charles Dickens,Fantasy,1
74,Dawn Edge Quest,Chetan Bhagat,Fantasy,4
75,Quest Journey Dawn Edge,George R.R. Martin,History,2
